😀,happiness,joyful,excited,cheer,pleasure,,,,,,,,,,,,,,
😃,happiness,amusement,excited,pleasantly surprised,adoring,,,,,,,,,,,,,,
😄,happiness,laughter,amusement,appreciation,,,,,,,,,,,,,,,
😁,happiness,laughing,silly,amused,proud,gratified,achievements,,,,,,,,,,,,
😆,laughter,evil laughter,excitement,ridiculous,really funny,,,,,,,,,,,,,,
😅,laughter,nerves,sweat,discomfort,relief,difficult task,frightened unexpectedly,,,,,,,,,,,,
🤣,laughing,hysterical,ridiculous,extremely funny,,,,,,,,,,,,,,,
😂,laughing,really funny,adorably funny,relief,,,,,,,,,,,,,,,
🙂,happiness,patronizing,ironic,passive aggressive,positive,indifferent,caring,sarcastic,,,,,,,,,,,
🙃,irony,sarcasm,joking,goofiness,silliness,bemused,not serious,,,,,,,,,,,,
😉,winking,joking,playful,flirtation,affectionate,mischievous,suggestive,ironic,sexual,innuendo ,appreciation,approval,understanding,,,,,,
😊,happiness,warmth,positive,joyful,peaceful,satisfaction,thankfulness,sarcastic,ironic,,,,,,,,,,
😇,prayers,blessings,angelic,sarcastic,righteous,goodness ,innocence,,,,,,,,,,,,
🥰,happiness,love,affectionate,in love,uplifting,,,,,,,,,,,,,,
😍,enthusiastic,love,in love,infatuation,adoration,admiration,excited,attraction,,,,,,,,,,,
🤩,star struck,amazing,impressive,exciting,celebrity,speechless,,,,,,,,,,,,,
😘,kiss,love,affection,appreciation,romantic,flirting,,,,,,,,,,,,,
😗,whistling,surprise,kiss,affection,contempt,feigned innocence,casual,romance,appreciation,waiting,,,,,,,,,
☺,happiness,positive,gratitude,relaxed,warmth,appreciation,brighten,sarcastic,,,,,,,,,,,
😚,romantic,kiss,affection,,,,,,,,,,,,,,,,
😙,whistling,kiss,affection,admiration,romance,fondness,,,,,,,,,,,,,
🥲,happiness,gratitude,tender,smiling through pain,bittersweet,pushing forward,forced smile,tearful,,,,,,,,,,,
😋,savoring,contentment,delicious,attractive,appreciation,grimace,,,,,,,,,,,,,
😛,happiness,excitement,playful,fun,goofy,cuteness,silliness,suggestive,jesting,just kidding,defeat,mocking,grimace,cheeky,childish,provocation,,,
😜,excitement,fun,joking,wackiness,buffoonery,crazy,playful,boast,joyful,achievement,sarcastic,good time,provocation,,,,,,
🤪,fun,goofy,wild,wackiness,partying,silly,crazy,crazy eyes,intoxication,joking,drunk,,,,,,,,
😝,happiness,excitement,playful,fun,sour,hilarity,suggestive,exuberant,jokingly,banter,boasting,superiority,provocative,,,,,,
🤑,making money,loving wealth,money,feeling rich,success,excellence,wealth,deal,bank,dollar,loving,rich,lust,opportunity,spent,wonder,sarcastic,,
🤗,excitement,positive,love,hug,warmth,care,gesture,jazz hands,enthusiasm,flourish,accomplishment,open hands,positive,happy,comfort,pacify,thanks ,support,friendly
